+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| SUSHIUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 981.71  | -4020.0 |
| TRBUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 982.71  | -4020.0 |
| RENUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 942.71  | -4020.0 |
| CELOUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 593.85  | -4020.0 |
| XRPUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1223.65 | -4020.0 |
| FLOWUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 457.85  | -4020.0 |
| EOSUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 1221.66 | -4020.0 |
| 1INCHUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 869.58  | -4020.0 |
| ROSEUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 498.85  | -4020.0 |
| AUDIOUSDT   | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 630.85  | -4020.0 |
| IMXUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 456.85  | -4020.0 |
| C98USDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 627.85  | -4020.0 |
| MTLUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 773.71  | -4020.0 |
| AXSUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 902.7   | -4020.0 |
| CHRUSDT     | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 790.71  | -4020.0 |
| CTSIUSDT    | 0.0           | 0.0         | 0.0           | 100.0        | 0.0         | 1.0            | 1.0                    | 0.0          | 564.85  | -4020.0 |
